 |UDP:0, 1|TCP:0|GV:0|RKN:0
Ryazan - RU RZN Vidikon|UDP:1|TCP:|GV:0|RKN:6
Rybinsk - Rostelecom networks|UDP:0|TCP:|GV:1|RKN:2
Samara - AIST Networks|UDP:1|TCP:|GV:0|RKN:0
Samara - CJSC ER-Telecom Holding Samara branch|UDP:0, 1|TCP:|GV:1|RKN:10
Samara - LLC SIP NIS|UDP:2|TCP:|GV:0|RKN:0
Samara - PJSC Rostelecom|UDP:0|TCP:|GV:8|RKN:0
Samara - Rostelecom networks|UDP:3|TCP:|GV:0|RKN:5
Semnovskiy - SIBNET-NETWORKS|UDP:2|TCP:|GV:0|RKN:1
Set-Navolok - PJSC Rostelecom|UDP:6|TCP:|GV:0|RKN:5
Sevastopol - Lancom Ltd.|UDP:2, 1, 0|TCP:|GV:1, 0|RKN:9
Shchyolkovo - Information and Communication Technologies LLC|UDP:0|TCP:|GV:0|RKN:0
Shchyolkovo - Limited Liability Company Incomsvyaz|UDP:0|TCP:|GV:0|RKN:0
Simferopol - Ltd. Cypher|UDP:0|TCP:|GV:0|RKN:0
SkyNet Networks|UDP:1|TCP:|GV:0|RKN:1
SM Ltd|UDP:1|TCP:|GV:1|RKN:1
Smolensk - PJSC MegaFon|UDP:2|TCP:|GV:2|RKN:2
Smolensk - Smolensk branch of the JSC CenterTelecom|UDP:2|TCP:|GV:2, 5|RKN:0
Sputniktv|UDP:1|TCP:|GV:8|RKN:0
St Petersburg - CORBINA-BROADBAND|UDP:1|TCP:|GV:0|RKN:0
St Petersburg - Hosting Ltd|UDP:0|TCP:|GV:0|RKN:12
St Petersburg - INFO-LAN Network|UDP:0|TCP:|GV:0|RKN:3
St Petersburg - Interzet|UDP:4|TCP:|GV:0|RKN:8
St Petersburg - LLC Baxet|UDP:0|TCP:|GV:0|RKN:9
St Petersburg - MegaFon|UDP:0|TCP:|GV:0|RKN:0
St Petersburg - Mobile TeleSystems PJSC|UDP:1|TCP:|GV:0|RKN:14
St Petersburg - NevalinkRoute|UDP:0|TCP:|GV:0|RKN:0
St Petersburg - Obit-Telecommunications Ltd.|UDP:0|TCP:|GV:0|RKN:2
St Petersburg - PJSC Rostelecom|UDP:0, 8, 3|TCP:|GV:0, 11, 1|RKN:2
St Petersburg - PJSC Vimpelcom|UDP:2|TCP:|GV:0|RKN:0
St Petersburg - Rostelecom networks|UDP:1|TCP:|GV:1|RKN:0
St Petersburg - SkyNet LLC|UDP:1, 0|TCP:|GV:0, 1|RKN:0
St Petersburg - SkyNet Ltd.|UDP:1, 0|TCP:|GV:0|RKN:0
St Petersburg - SPBNIT|UDP:5|TCP:|GV:0|RKN:2
St Petersburg - TELVIO Ltd.|UDP:2|TCP:|GV:1|RKN:13
St Petersburg - Z-Telecom|UDP:1, 0, 5|TCP:|GV:0, 1|RKN:5
Stary Oskol - GorPTUs OOO|UDP:0|TCP:|GV:0|RKN:2
Stavropol - Macroregional South|UDP:0|TCP:|GV:1|RKN:2
Stavropol - OOO SET|UDP:0, 1|TCP:|GV:0|RKN:0
Stavropol - OOO SET Network|UDP:6|TCP:|GV:11|RKN:12
Stavropol - OOO Set network|UDP:0|TCP:|GV:0|RKN:12
Stavropol - OOOSET|UDP:1|TCP:|GV:1|RKN:5
Stavropol - PJSC Vimpelcom|UDP:0|TCP:|GV:0, 13|RKN:8
Sterlitamak - BRAS pool Rostelecom-Bashinformsvyaz|UDP:1|TCP:|GV:0|RKN:4
Sterlitamak - MTS PJSC|UDP:0|TCP:|GV:0|RKN:3
Stupino - LLC City-Telekom|UDP:1|TCP:|GV:1|RKN:9
Surgut - OJSC uralsvyazinform|UDP:1|TCP:|GV:0|RKN:1
Surgut - Tele-plus LLC|UDP:0|TCP:|GV:0|RKN:2
Syktyvkar - PJSC Rostelecom|UDP:4|TCP:|GV:0|RKN:17
Takhtamukay - Umniy Dom LLC|UDP:0|TCP:|GV:0, 1|RKN:0
Tambov - LANTA Ltd|UDP:4|TCP:|GV:0|RKN:5
Tambov - Sistemy Svyazi Llc|UDP:1|TCP:|GV:0|RKN:0
TIS-DIALOG|UDP:6|TCP:|GV:0|RKN:5
Tolyatti - InfoLada Ltd|UDP:0, 1|TCP:|GV:0|RKN:0
Tolyatti - Infoline networks|UDP:3, 4, 0|TCP:|GV:6, 1|RKN:2
Tolyatti - PJSC Rostelecom|UDP:0|TCP:|GV:0|RKN:0
Tomsk - CJSC ER-Telecom Holding Tomsk branch|UDP:1|TCP:|GV:0|RKN:0
Tomsk - JSC Rostelecom regional branch Siberia|UDP:0|TCP:|GV:1|RKN:2
Tomsk - New Telesystems|UDP:1|TCP:|GV:0|RKN:5
Tomsk - Rostelecom networks|UDP:8|TCP:|GV:0|RKN:2
Tosno - OtradnoeNet Ltd|UDP:0|TCP:|GV:1|RKN:0
TTK AS50771|UDP:2|TCP:|GV:0, 1|RKN:0
TUT|UDP:0|TCP:|GV:1|RKN:5
Tver - Annet Ltd.|UDP:7|TCP:|GV:12|RKN:15
Tyumen - MKS75 Network|UDP:0|TCP:|GV:0|RKN:0
Ufa - Bashinformsvyaz Company RUMS DSL|UDP:0|TCP:|GV:6, 11|RKN:0
Ufa - DSL|UDP:1|TCP:|GV:1|RKN:5
Ufa - JSC ER-Telecom Holding|UDP:1|TCP:|GV:0, 8|RKN:3
Ufa - JSC Ufanet|UDP:6, 5|TCP:|GV:0, 5|RKN:0
Ufa - Mobile TeleSystems|UDP:0|TCP:|GV:0|RKN:2
Unknown|UDP:0, 2, 1|TCP:|GV:0, 1, 13|RKN:0
Veliky Novgorod - MTS Velikiy Novgorod Regional Network|UDP:3|TCP:|GV:3|RKN:12
Veliky Novgorod - Rostelecom networks|UDP:0, 1, 8|TCP:|GV:1, 5|RKN:0
Verkhniy Uslon - JSC Ufanet Kazan branch|UDP:0|TCP:|GV:0|RKN:0
Verkhnyaya Pyshma - LLC EDN Sovintel Ekaterinburg branch|UDP:1, 2|TCP:|GV:0|RKN:0
Verkhnyaya Pyshma - UGMK-Telecom network|UDP:0|TCP:|GV:11|RKN:3
VL-Telecom  Ltd|UDP:3|TCP:|GV:1|RKN:5
Vladikavkaz - Limited Liability Company Irtelcom|UDP:1|TCP:|GV:0|RKN:5
Vladikavkaz - Rostelecom networks|UDP:0|TCP:|GV:0|RKN:5
Vladimir - Gorset Ltd|UDP:0|TCP:|GV:0|RKN:5
Vladivostok - Rostelecom networks|UDP:0, 2|TCP:|GV:0|RKN:0
Volgograd - CJSC ER-Telecom Holding Volgograd branch|UDP:0, 1, 2|TCP:|GV:1, 0|RKN:2
Volgograd - MTS PJSC|UDP:0, 1|TCP:|GV:0, 1|RKN:0
Volgograd - PJSC Vimpelcom|UDP:4|TCP:|GV:0|RKN:11
Volgograd - VolgaLink Ltd|UDP:4|TCP:|GV:0|RKN:5
